Run 2: Time (min) (±0.01 min),Run 2: pH (±0.3 pH),Run 2: Volume of NaOH Added (cm^3) (±0.02 cm^3),Run 1: Time (min) (±0.01 min),Run 1: pH (±0.3 pH),Run 1: Volume of NaOH Added (cm^3) (±0.02 cm^3)
0.0,3.7,0.0,0.0,3.7,
0.02,3.7,,0.02,3.7,
0.03,3.7,,0.03,3.7,
0.05,3.7,,0.05,3.7,
0.07,3.7,,0.07,3.7,
0.08,3.7,,0.08,3.7,
0.1,3.7,,0.1,3.7,
0.12,3.7,,0.12,3.7,
0.13,3.7,,0.13,3.7,
0.15,3.7,,0.15,3.7,
0.17,3.7,,0.17,3.7,
0.18,3.7,,0.18,3.7,
0.2,3.7,,0.2,3.7,
0.22,3.7,,0.22,3.7,
0.23,3.7,,0.23,3.7,
0.25,3.7,,0.25,3.7,
0.27,3.7,,0.27,3.7,
0.28,3.7,,0.28,3.7,
0.3,3.7,,0.3,3.7,
0.32,3.7,,0.32,3.7,
0.33,3.7,,0.33,3.7,
0.35,3.7,,0.35,3.7,
0.37,3.7,,0.37,3.7,
0.38,3.7,,0.38,3.7,
0.4,3.7,,0.4,3.7,
0.42,3.7,,0.42,3.7,
0.43,3.7,,0.43,3.7,
0.45,3.7,,0.45,3.8,
0.47,3.7,,0.47,3.8,
0.48,3.7,,0.48,3.8,
0.5,3.7,,0.5,3.9,
0.52,3.7,,0.52,3.9,
0.53,3.7,,0.53,4.0,
0.55,3.7,,0.55,4.0,
0.57,3.7,,0.57,4.0,
0.58,3.7,,0.58,4.1,
0.6,3.7,,0.6,4.1,
0.62,3.7,,0.62,4.2,
0.63,3.7,,0.63,4.2,
0.65,3.8,,0.65,4.2,
0.67,3.8,,0.67,4.3,
0.68,3.8,,0.68,4.3,
0.7,3.8,,0.7,4.3,
0.72,3.8,,0.72,4.4,
0.73,3.9,,0.73,4.4,
0.75,3.9,,0.75,4.4,
0.77,3.9,,0.77,4.4,
0.78,3.9,,0.78,4.5,
0.8,4.0,,0.8,4.5,
0.82,4.0,,0.82,4.5,
0.83,4.0,,0.83,4.5,
0.85,4.0,,0.85,4.5,
0.87,4.1,,0.87,4.5,
0.88,4.1,,0.88,4.5,
0.9,4.1,,0.9,4.5,
0.92,4.1,,0.92,4.6,
0.93,4.2,,0.93,4.6,
0.95,4.2,,0.95,4.6,
0.97,4.2,,0.97,4.6,
0.98,4.2,,0.98,4.6,
1.0,4.2,,1.0,4.6,
1.02,4.3,,1.02,4.6,
1.03,4.3,,1.03,4.6,
1.05,4.3,,1.05,4.6,
1.07,4.3,2.0,1.07,4.6,
1.08,4.3,,1.08,4.7,
1.1,4.3,,1.1,4.7,
1.12,4.4,,1.12,4.7,
1.13,4.4,,1.13,4.7,
1.15,4.4,,1.15,4.7,
1.17,4.4,,1.17,4.7,
1.18,4.4,,1.18,4.7,
1.2,4.4,,1.2,4.7,
1.22,4.4,,1.22,4.7,
1.23,4.5,,1.23,4.7,
1.25,4.5,,1.25,4.7,
1.27,4.5,,1.27,4.8,
1.28,4.5,,1.28,4.8,
1.3,4.5,,1.3,4.8,
1.32,4.5,,1.32,4.8,
1.33,4.5,,1.33,4.8,
1.35,4.5,,1.35,4.8,
1.37,4.6,,1.37,4.8,
1.38,4.6,,1.38,4.8,
1.4,4.6,,1.4,4.8,
1.42,4.6,,1.42,4.8,
1.43,4.6,,1.43,4.8,
1.45,4.6,,1.45,4.8,
1.47,4.6,,1.47,4.8,
1.48,4.6,,1.48,4.9,
1.5,4.6,,1.5,4.9,
1.52,4.6,,1.52,4.9,
1.53,4.7,,1.53,4.9,
1.55,4.7,,1.55,4.9,
1.57,4.7,,1.57,4.9,
1.58,4.7,,1.58,4.9,
1.6,4.7,4.0,1.6,4.9,
1.62,4.7,,1.62,4.9,
1.63,4.7,,1.63,4.9,
1.65,4.7,,1.65,4.9,
1.67,4.7,,1.67,4.9,
1.68,4.7,,1.68,4.9,
1.7,4.8,,1.7,4.9,
1.72,4.8,,1.72,4.9,
1.73,4.8,,1.73,4.9,
1.75,4.8,,1.75,4.9,
1.77,4.8,,1.77,5.0,
1.78,4.8,,1.78,5.0,
1.8,4.8,,1.8,5.0,
1.82,4.8,,1.82,5.0,
1.83,4.8,,1.83,5.0,
1.85,4.8,,1.85,5.0,
1.87,4.8,,1.87,5.0,
1.88,4.8,,1.88,5.0,
1.9,4.8,,1.9,5.0,
1.92,4.9,,1.92,5.0,
1.93,4.9,,1.93,5.0,
1.95,4.9,,1.95,5.0,
1.97,4.9,,1.97,5.0,
1.98,4.9,,1.98,5.0,
2.0,4.9,,2.0,5.0,
2.02,4.9,,2.02,5.0,
2.03,4.9,,2.03,5.0,
2.05,4.9,,2.05,5.0,
2.07,4.9,,2.07,5.1,
2.08,4.9,,2.08,5.1,
2.1,4.9,,2.1,5.1,
2.12,4.9,,2.12,5.1,
2.13,4.9,,2.13,5.1,
2.15,4.9,,2.15,5.1,
2.17,4.9,,2.17,5.1,
2.18,5.0,,2.18,5.1,
2.2,5.0,6.0,2.2,5.1,
2.22,5.0,,2.22,5.1,
2.23,5.0,,2.23,5.1,
2.25,5.0,,2.25,5.1,
2.27,5.0,,2.27,5.1,
2.28,5.0,,2.28,5.1,
2.3,5.0,,2.3,5.1,
2.32,5.0,,2.32,5.1,
2.33,5.0,,2.33,5.1,
2.35,5.0,,2.35,5.1,
2.37,5.0,,2.37,5.1,
2.38,5.0,,2.38,5.1,
2.4,5.0,,2.4,5.2,
2.42,5.0,,2.42,5.2,
2.43,5.0,,2.43,5.2,
2.45,5.0,,2.45,5.2,
2.47,5.0,,2.47,5.2,
2.48,5.1,,2.48,5.2,
2.5,5.1,,2.5,5.2,
2.52,5.1,,2.52,5.2,
2.53,5.1,,2.53,5.2,
2.55,5.1,,2.55,5.2,
2.57,5.1,,2.57,5.2,
2.58,5.1,,2.58,5.2,
2.6,5.1,,2.6,5.2,
2.62,5.1,,2.62,5.2,
2.63,5.1,,2.63,5.2,
2.65,5.1,,2.65,5.2,
2.67,5.1,,2.67,5.2,
2.68,5.1,,2.68,5.2,
2.7,5.1,,2.7,5.2,
2.72,5.1,,2.72,5.2,
2.73,5.1,,2.73,5.2,
2.75,5.1,,2.75,5.2,
2.77,5.1,,2.77,5.3,
2.78,5.1,,2.78,5.3,
2.8,5.2,,2.8,5.3,
2.82,5.2,,2.82,5.3,
2.83,5.2,,2.83,5.3,
2.85,5.2,,2.85,5.3,
2.87,5.2,,2.87,5.3,
2.88,5.2,,2.88,5.3,
2.9,5.2,,2.9,5.3,
2.92,5.2,,2.92,5.3,
2.93,5.2,,2.93,5.3,
2.95,5.2,,2.95,5.3,
2.97,5.2,,2.97,5.3,
2.98,5.2,,2.98,5.3,
3.0,5.2,,3.0,5.3,
3.02,5.2,,3.02,5.3,
3.03,5.2,,3.03,5.3,
3.05,5.2,,3.05,5.3,
3.07,5.2,,3.07,5.3,
3.08,5.2,,3.08,5.3,
3.1,5.2,,3.1,5.3,
3.12,5.2,,3.12,5.3,
3.13,5.2,,3.13,5.4,
3.15,5.2,,3.15,5.4,
3.17,5.3,,3.17,5.4,
3.18,5.3,,3.18,5.4,
3.2,5.3,,3.2,5.4,
3.22,5.3,,3.22,5.4,
3.23,5.3,,3.23,5.4,
3.25,5.3,,3.25,5.4,
