Run 1: Time (min) (±0.01 min),Run 1: pH (±0.3 pH),Run 1: Temperature (°C) (±0.1°C),Run 1: Volume of NaOH Added (cm^3) (±0.02 cm^3)
0.0,3.6,25.4,0.0
0.02,3.6,25.4,
0.03,3.6,25.4,
0.05,3.6,25.4,
0.07,3.6,25.4,
0.08,3.6,25.4,
0.1,3.6,25.4,
0.12,3.6,25.4,
0.13,3.6,25.4,
0.15,3.6,25.4,
0.17,3.6,25.4,
0.18,3.6,25.4,
0.2,3.6,25.4,
0.22,3.6,25.4,
0.23,3.6,25.4,
0.25,3.6,25.4,
0.27,3.6,25.4,
0.28,3.6,25.4,
0.3,3.6,25.4,
0.32,3.6,25.4,
0.33,3.6,25.4,
0.35,3.6,25.4,
0.37,3.6,25.4,
0.38,3.6,25.4,
0.4,3.6,25.4,
0.42,3.6,25.4,
0.43,3.6,25.4,
0.45,3.6,25.4,
0.47,3.6,25.4,
0.48,3.7,25.4,
0.5,3.7,25.4,
0.52,3.7,25.4,0.5
0.53,3.7,25.4,
0.55,3.7,25.4,
0.57,3.8,25.4,
0.58,3.8,25.4,
0.6,3.8,25.4,
0.62,3.8,25.4,
0.63,3.8,25.4,
0.65,3.9,25.4,
0.67,3.9,25.4,
0.68,3.9,25.4,
0.7,3.9,25.4,
0.72,3.9,25.4,1.0
0.73,4.0,25.4,
0.75,4.0,25.4,
0.77,4.0,25.4,
0.78,4.0,25.4,
0.8,4.0,25.4,
0.82,4.0,25.4,
0.83,4.0,25.4,
0.85,4.1,25.4,1.5
0.87,4.1,25.4,
0.88,4.1,25.4,
0.9,4.1,25.4,
0.92,4.1,25.4,
0.93,4.1,25.4,
0.95,4.2,25.4,
0.97,4.2,25.4,
0.98,4.2,25.4,
1.0,4.2,25.4,
1.02,4.2,25.4,2.0
1.03,4.2,25.4,
1.05,4.2,25.4,
1.07,4.2,25.3,
1.08,4.2,25.3,
1.1,4.3,25.3,
1.12,4.3,25.3,
1.13,4.3,25.3,
1.15,4.3,25.3,
1.17,4.3,25.3,
1.18,4.3,25.3,
1.2,4.3,25.3,2.5
1.22,4.3,25.3,
1.23,4.3,25.3,
1.25,4.3,25.3,
1.27,4.4,25.3,
1.28,4.4,25.3,
1.3,4.4,25.3,
1.32,4.4,25.3,
1.33,4.4,25.3,
1.35,4.4,25.3,
1.37,4.4,25.3,3.0
1.38,4.4,25.3,
1.4,4.4,25.3,
1.42,4.4,25.3,
1.43,4.4,25.3,
1.45,4.4,25.3,
1.47,4.5,25.3,
