Run 1: Time (min) (±0.01 min),Run 1: pH (±0.3 pH),Run 1: Temperature (°C) (±0.1°C),Run 1: Volume of NaOH Added (cm^3) (±0.02 cm^3),Run 2: Time (min) (±0.01 min),Run 2: pH (±0.3 pH),Run 2: Temperature (°C) (±0.1°C),Run 2: Volume of NaOH Added (cm^3) (±0.02 cm^3),Run 3: Time (min) (±0.01 min),Run 3: pH (±0.3 pH),Run 3: Temperature (°C) (±0.1°C),Run 3: Volume of NaOH Added (cm^3) (±0.02 cm^3)
0.0,3.0,25.1,0.0,0.0,3.0,26.4,0.0,0.0,3.0,26.1,0.0
0.02,3.0,25.1,,0.02,3.0,26.4,,0.02,3.0,26.0,
0.03,3.0,25.1,,0.03,3.0,26.4,,0.03,3.0,26.1,
0.05,3.0,25.1,,0.05,3.0,26.4,,0.05,3.0,26.1,
0.07,3.0,25.1,,0.07,3.0,26.4,,0.07,3.0,26.1,
0.08,3.0,25.1,,0.08,3.0,26.4,,0.08,3.0,26.1,
0.1,3.0,25.1,,0.1,3.0,26.4,,0.1,3.0,26.1,
0.12,3.0,25.1,,0.12,3.0,26.4,,0.12,3.0,26.1,
0.13,3.0,25.1,,0.13,3.0,26.4,,0.13,3.0,26.1,
0.15,3.0,25.1,,0.15,3.0,26.4,,0.15,3.0,26.1,
0.17,3.0,25.1,,0.17,3.0,26.4,,0.17,3.0,26.1,
0.18,3.0,25.1,,0.18,3.0,26.4,,0.18,3.0,26.1,
0.2,3.0,25.1,,0.2,3.0,26.4,,0.2,3.0,26.1,
0.22,3.0,25.1,,0.22,3.0,26.4,,0.22,3.0,26.1,
0.23,3.0,25.1,,0.23,3.0,26.4,,0.23,3.0,26.1,
0.25,3.0,25.1,,0.25,3.0,26.4,,0.25,3.0,26.1,
0.27,3.0,25.1,,0.27,3.0,26.4,,0.27,3.0,26.1,
0.28,3.0,25.1,,0.28,3.0,26.4,,0.28,3.0,26.1,
0.3,3.0,25.1,,0.3,3.0,26.4,,0.3,3.0,26.1,
0.32,3.0,25.1,,0.32,3.0,26.4,,0.32,3.0,26.1,
0.33,3.0,25.1,,0.33,3.0,26.4,,0.33,3.0,26.1,
0.35,3.0,25.1,,0.35,3.0,26.4,,0.35,3.0,26.1,
0.37,3.0,25.1,,0.37,3.0,26.4,,0.37,3.0,26.1,
0.38,3.0,25.1,,0.38,3.0,26.4,,0.38,3.0,26.1,
0.4,3.0,25.1,,0.4,3.0,26.4,,0.4,3.0,26.1,
0.42,3.0,25.1,,0.42,3.0,26.4,,0.42,3.0,26.1,
0.43,3.0,25.1,,0.43,3.0,26.4,,0.43,3.0,26.1,
0.45,3.0,25.1,,0.45,3.0,26.4,,0.45,3.0,26.1,
0.47,3.0,25.1,,0.47,3.0,26.4,,0.47,3.0,26.1,
0.48,3.0,25.1,,0.48,3.0,26.4,,0.48,3.1,26.1,
0.5,3.0,25.1,,0.5,3.0,26.4,,0.5,3.1,26.1,
0.52,3.0,25.1,,0.52,3.0,26.4,,0.52,3.2,26.1,
0.53,3.0,25.1,,0.53,3.1,26.4,,0.53,3.2,26.1,
0.55,3.0,25.1,,0.55,3.1,26.4,0.5,0.55,3.2,26.1,
0.57,3.0,25.1,,0.57,3.1,26.4,,0.57,3.3,26.1,0.5
0.58,3.0,25.1,,0.58,3.2,26.4,,0.58,3.3,26.1,
0.6,3.0,25.1,,0.6,3.2,26.4,,0.6,3.3,26.1,
0.62,3.0,25.1,,0.62,3.2,26.4,,0.62,3.4,26.1,
0.63,3.0,25.1,,0.63,3.3,26.4,,0.63,3.4,26.1,
0.65,3.0,25.1,,0.65,3.3,26.5,,0.65,3.4,26.1,
0.67,3.0,25.1,,0.67,3.3,26.5,,0.67,3.4,26.1,
0.68,3.0,25.1,,0.68,3.3,26.5,1.0,0.68,3.4,26.1,1.0
0.7,3.0,25.1,,0.7,3.3,26.5,,0.7,3.5,26.1,
0.72,3.0,25.1,,0.72,3.4,26.5,,0.72,3.5,26.1,
0.73,3.1,25.1,,0.73,3.4,26.5,,0.73,3.5,26.1,
0.75,3.1,25.1,,0.75,3.4,26.5,,0.75,3.5,26.1,
0.77,3.1,25.1,,0.77,3.4,26.5,,0.77,3.5,26.1,
0.78,3.2,25.1,,0.78,3.4,26.5,,0.78,3.6,26.1,
0.8,3.2,25.1,,0.8,3.4,26.5,,0.8,3.6,26.1,1.5
0.82,3.3,25.1,0.5,0.82,3.4,26.5,,0.82,3.6,26.1,
0.83,3.3,25.1,,0.83,3.5,26.5,,0.83,3.6,26.1,
0.85,3.3,25.1,,0.85,3.5,26.5,1.5,0.85,3.7,26.1,
0.87,3.4,25.1,,0.87,3.5,26.5,,0.87,3.7,26.1,
0.88,3.4,25.1,,0.88,3.5,26.5,,0.88,3.7,26.1,
0.9,3.4,25.1,,0.9,3.5,26.5,,0.9,3.7,26.1,
0.92,3.4,25.1,,0.92,3.5,26.5,,0.92,3.7,26.1,
0.93,3.5,25.1,1.0,0.93,3.5,26.5,,0.93,3.7,26.1,
0.95,3.5,25.1,,0.95,3.5,26.5,,0.95,3.7,26.1,2.0
0.97,3.5,25.2,,0.97,3.5,26.5,,0.97,3.8,26.1,
0.98,3.6,25.2,,0.98,3.5,26.5,,0.98,3.8,26.1,
1.0,3.6,25.2,,1.0,3.5,26.5,,1.0,3.8,26.1,
1.02,3.6,25.2,,1.02,3.6,26.5,,1.02,3.8,26.1,
1.03,3.6,25.2,1.5,1.03,3.6,26.5,,1.03,3.8,26.1,
1.05,3.6,25.2,,1.05,3.6,26.5,,1.05,3.8,26.1,
1.07,3.7,25.2,,1.07,3.6,26.5,2.0,1.07,3.8,26.1,
1.08,3.7,25.2,,1.08,3.6,26.5,,1.08,3.8,26.1,
1.1,3.7,25.2,,1.1,3.6,26.5,,1.1,3.8,26.2,
1.12,3.7,25.2,,1.12,3.6,26.5,,1.12,3.8,26.1,2.5
1.13,3.7,25.2,2.0,1.13,3.7,26.5,,1.13,3.8,26.1,
1.15,3.8,25.2,,1.15,3.7,26.5,,1.15,3.8,26.2,
1.17,3.8,25.2,,1.17,3.7,26.5,,1.17,3.8,26.2,
1.18,3.8,25.2,,1.18,3.7,26.5,,1.18,3.8,26.2,
1.2,3.8,25.2,,1.2,3.7,26.5,,1.2,3.9,26.2,
1.22,3.8,25.2,,1.22,3.7,26.5,,1.22,3.9,26.2,
1.23,3.8,25.2,,1.23,3.7,26.5,,1.23,3.9,26.2,
1.25,3.8,25.2,,1.25,3.7,26.5,,1.25,3.9,26.2,
1.27,3.9,25.2,,1.27,3.7,26.5,2.5,1.27,3.9,26.2,
1.28,3.9,25.2,,1.28,3.7,26.5,,1.28,3.9,26.2,
1.3,3.9,25.2,3.0,1.3,3.7,26.5,,1.3,3.9,26.2,
1.32,3.9,25.2,,1.32,3.7,26.5,,1.32,3.9,26.2,
1.33,3.9,25.2,,1.33,3.7,26.5,,1.33,3.9,26.2,
1.35,3.9,25.2,,1.35,3.7,26.5,,1.35,4.0,26.2,
