Run 1: Time (min) (±0.01 min),Run 1: pH (±0.3 pH),Run 1: Temperature (°C) (±0.1°C),Run 1: Volume of NaOH Added (cm^3) (±0.02 cm^3),Run 2: Time (min) (±0.01 min),Run 2: Temperature (°C) (±0.1°C),Run 2: pH (±0.3 pH),Run 2: Volume of NaOH Added (cm^3) (±0.02 cm^3),Run 3: Time (min) (±0.01 min),Run 3: Temperature (°C) (±0.1°C),Run 3: pH (±0.3 pH),Run 3: Volume of NaOH Added (cm^3) (±0.02 cm^3)
0.0,3.0,25.6,0.0,0.0,25.7,3.0,0.0,0.0,25.7,3.0,0.0
0.02,3.0,25.6,,0.02,25.7,3.0,,0.02,25.7,3.0,
0.03,3.0,25.6,,0.03,25.7,3.0,,0.03,25.7,3.0,
0.05,3.0,25.6,,0.05,25.7,3.0,,0.05,25.7,3.0,
0.07,3.0,25.6,,0.07,25.7,3.0,,0.07,25.7,3.0,
0.08,3.0,25.6,,0.08,25.7,3.0,,0.08,25.7,3.0,
0.1,3.0,25.6,,0.1,25.7,3.0,,0.1,25.7,3.0,
0.12,3.0,25.6,,0.12,25.7,3.0,,0.12,25.7,3.0,
0.13,3.0,25.6,,0.13,25.7,3.0,,0.13,25.7,3.0,
0.15,3.0,25.6,,0.15,25.7,3.0,,0.15,25.7,3.0,
0.17,3.0,25.6,,0.17,25.7,3.0,,0.17,25.7,3.0,
0.18,3.0,25.6,,0.18,25.7,3.0,,0.18,25.7,3.0,
0.2,3.0,25.6,,0.2,25.7,3.0,,0.2,25.7,3.0,
0.22,3.0,25.6,,0.22,25.7,3.0,,0.22,25.7,3.0,
0.23,3.0,25.6,,0.23,25.7,3.0,,0.23,25.7,3.0,
0.25,3.0,25.6,,0.25,25.7,3.0,,0.25,25.7,3.0,
0.27,3.0,25.6,,0.27,25.7,3.0,,0.27,25.7,3.0,
0.28,3.0,25.6,,0.28,25.7,3.0,,0.28,25.7,3.0,
0.3,3.0,25.6,,0.3,25.7,3.0,,0.3,25.7,3.0,
0.32,3.0,25.6,,0.32,25.7,3.0,,0.32,25.7,3.0,
0.33,3.0,25.6,,0.33,25.7,3.0,,0.33,25.7,3.0,
0.35,3.0,25.6,,0.35,25.7,3.0,,0.35,25.7,3.0,
0.37,3.0,25.6,,0.37,25.7,3.0,,0.37,25.7,3.0,
0.38,3.0,25.6,,0.38,25.7,3.0,,0.38,25.7,3.0,
0.4,3.0,25.6,,0.4,25.7,3.0,,0.4,25.7,3.0,
0.42,3.1,25.6,,0.42,25.7,3.1,,0.42,25.7,3.1,
0.43,3.1,25.6,,0.43,25.7,3.2,,0.43,25.7,3.1,
0.45,3.1,25.6,,0.45,25.7,3.3,,0.45,25.7,3.2,
0.47,3.2,25.6,,0.47,25.7,3.3,,0.47,25.7,3.3,
0.48,3.2,25.6,,0.48,25.7,3.3,,0.48,25.7,3.3,
0.5,3.2,25.6,0.5,0.5,25.7,3.3,1.0,0.5,25.7,3.3,1.0
0.52,3.2,25.6,,0.52,25.7,3.4,,0.52,25.7,3.4,
0.53,3.2,25.6,,0.53,25.7,3.4,,0.53,25.7,3.4,
0.55,3.2,25.6,,0.55,25.7,3.4,,0.55,25.7,3.4,
0.57,3.3,25.6,,0.57,25.7,3.4,,0.57,25.7,3.4,
0.58,3.3,25.6,,0.58,25.7,3.4,,0.58,25.7,3.4,
0.6,3.3,25.6,,0.6,25.7,3.5,,0.6,25.7,3.4,
0.62,3.3,25.6,,0.62,25.7,3.5,,0.62,25.7,3.5,
