Run 1: Time (min) (±0.01 min),Run 1: pH (±0.3 pH),Run 1: Volume of NaOH Added (cm^3) (±0.02 cm^3),Run 2: Time (min) (±0.01 min),Run 2: pH (±0.3 pH),Run 2: Volume of NaOH Added (cm^3) (±0.02 cm^3)
0.15,3.4,0.0,0.15,3.4,0.0
0.9,3.8,1.0,0.9,3.8,1.0
1.15,4.2,2.0,1.15,4.1,2.0
1.4,4.4,3.0,1.4,4.4,3.0
1.25,4.5,4.0,1.25,4.5,4.0
1.35,4.5,5.0,1.35,4.5,5.0
1.58,4.6,6.0,1.58,4.6,6.0
1.86,4.7,7.0,1.86,4.7,7.0
2.1,4.7,8.0,2.1,4.7,8.0
2.29,4.8,9.0,2.29,4.8,9.0
2.46,4.9,10.0,2.46,4.9,10.0
2.67,4.9,11.0,2.67,4.9,11.0
2.91,5.0,12.0,2.91,5.0,12.0
3.2,5.1,13.0,3.2,5.1,13.0
3.6,5.1,14.0,3.6,5.2,14.0
4.0,5.2,15.0,4.0,5.2,15.0
4.14,5.2,15.5,4.14,5.2,15.5
4.25,5.4,16.0,4.25,5.4,16.0
4.36,5.4,16.5,4.36,5.5,16.5
4.47,5.5,17.0,4.47,5.5,17.0
4.59,5.9,17.5,4.59,5.9,17.5
4.75,6.1,18.0,4.75,6.2,18.0
5.01,6.5,18.5,5.01,6.5,18.5
5.27,6.8,19.0,5.27,6.8,19.0
5.41,6.9,19.5,5.41,6.9,19.5
5.5,7.2,20.5,5.5,7.1,20.5
5.68,8.2,21.5,5.68,8.2,21.5
6.1,10.9,22.5,6.1,10.9,22.5
6.51,12.1,23.5,6.51,12.1,23.5
6.77,12.4,24.5,6.77,12.5,24.5
6.95,12.6,25.5,6.95,12.6,25.5
7.21,12.7,26.5,7.21,12.7,26.5
7.35,12.7,27.5,7.35,12.7,27.5
7.54,12.8,28.5,7.54,12.8,28.5
7.84,12.8,29.5,7.84,12.8,29.5
8.12,12.9,30.5,8.12,12.9,30.5
8.31,12.9,31.5,8.31,12.9,31.5
,3.6,0.5,,,
,4.0,1.5,,,
,4.3,2.5,,,
,4.5,3.5,,,
,4.5,4.5,,,
,4.6,5.5,,,
,4.6,6.5,,,
,4.7,7.5,,,
,4.8,8.5,,,
,4.8,9.5,,,
,4.9,10.5,,,
,5.0,11.5,,,
,5.0,12.5,,,
,5.1,13.5,,,
,5.2,14.5,,,
,,,,3.6,0.5
,,,,4.0,1.5
,,,,4.3,2.5
,,,,4.4,3.5
,,,,4.5,4.5
,,,,4.6,5.5
,,,,4.6,6.5
,,,,4.7,7.5
,,,,4.8,8.5
,,,,4.8,9.5
,,,,4.9,10.5
,,,,5.0,11.5
,,,,5.0,12.5
,,,,5.1,13.5
,,,,5.2,14.5
