Run 2: Time (min) (±0.01 min),Run 2: pH (±0.3 pH),Run 2: Temperature (°C) (±0.1°C),Run 2: Volume of NaOH Added (cm^3) (±0.02 cm^3),Run 1: Time (min) (±0.01 min),Run 1: pH (±0.3 pH),Run 1: Temperature (°C) (±0.1°C),Run 1: Volume of NaOH Added (cm^3) (±0.02 cm^3)
0.0,3.5,26.2,0.0,0.0,3.6,26.3,0.0
0.02,3.5,26.2,,0.02,3.6,26.3,
0.03,3.5,26.2,,0.03,3.6,26.3,
0.05,3.5,26.2,,0.05,3.6,26.3,
0.07,3.5,26.2,,0.07,3.6,26.3,
0.08,3.5,26.2,,0.08,3.6,26.3,
0.1,3.5,26.2,,0.1,3.6,26.3,
0.12,3.5,26.2,,0.12,3.6,26.3,
0.13,3.5,26.2,,0.13,3.6,26.3,
0.15,3.5,26.2,,0.15,3.6,26.3,
0.17,3.5,26.2,,0.17,3.6,26.3,
0.18,3.5,26.2,,0.18,3.6,26.3,
0.2,3.5,26.2,,0.2,3.6,26.3,
0.22,3.5,26.2,,0.22,3.6,26.3,
0.23,3.5,26.2,,0.23,3.6,26.3,
0.25,3.5,26.2,,0.25,3.6,26.3,
0.27,3.5,26.2,,0.27,3.6,26.3,
0.28,3.5,26.2,,0.28,3.6,26.3,
0.3,3.5,26.2,,0.3,3.6,26.3,
0.32,3.5,26.2,,0.32,3.6,26.3,
0.33,3.5,26.2,,0.33,3.6,26.3,
0.35,3.5,26.2,,0.35,3.6,26.3,
0.37,3.5,26.2,,0.37,3.6,26.3,
0.38,3.5,26.2,,0.38,3.6,26.3,
0.4,3.5,26.2,,0.4,3.6,26.3,0.5
0.42,3.5,26.2,,0.42,3.7,26.3,
0.43,3.5,26.2,,0.43,3.7,26.3,
0.45,3.5,26.2,,0.45,3.7,26.3,
0.47,3.5,26.2,,0.47,3.8,26.3,
0.48,3.5,26.2,,0.48,3.8,26.3,
0.5,3.6,26.2,,0.5,3.8,26.3,1.0
0.52,3.6,26.2,,0.52,3.8,26.3,
0.53,3.6,26.2,,0.53,3.9,26.3,
0.55,3.6,26.2,,0.55,3.9,26.3,
0.57,3.6,26.2,0.5,0.57,3.9,26.3,
0.58,3.7,26.2,,0.58,3.9,26.3,
0.6,3.7,26.2,,0.6,4.0,26.3,
0.62,3.7,26.2,,0.62,4.0,26.3,
0.63,3.7,26.2,,0.63,4.0,26.3,1.5
0.65,3.7,26.2,,0.65,4.0,26.3,
0.67,3.8,26.2,,0.67,4.0,26.3,
0.68,3.8,26.2,,0.68,4.1,26.3,
0.7,3.8,26.2,,0.7,4.1,26.3,
0.72,3.8,26.2,1.0,0.72,4.1,26.3,
0.73,3.8,26.2,,0.73,4.1,26.3,
0.75,3.9,26.2,,0.75,4.1,26.3,2.0
0.77,3.9,26.2,,0.77,4.2,26.4,
0.78,3.9,26.2,,0.78,4.2,26.4,
0.8,3.9,26.2,,0.8,4.2,26.4,
0.82,3.9,26.2,,0.82,4.2,26.4,
0.83,3.9,26.2,,0.83,4.2,26.4,2.5
0.85,4.0,26.2,,0.85,4.2,26.4,
0.87,4.0,26.2,,0.87,4.2,26.4,
0.88,4.0,26.2,,0.88,4.3,26.4,
0.9,4.0,26.2,,0.9,4.3,26.4,
0.92,4.0,26.2,1.5,0.92,4.3,26.4,
0.93,4.0,26.2,,0.93,4.3,26.4,
0.95,4.0,26.2,,0.95,4.3,26.4,
0.97,4.1,26.2,,0.97,4.3,26.4,
0.98,4.1,26.2,,0.98,4.3,26.4,
1.0,4.1,26.2,,1.0,4.3,26.4,3.0
1.02,4.1,26.2,,1.02,4.3,26.4,
1.03,4.1,26.2,,1.03,4.4,26.4,
1.05,4.1,26.2,2.0,1.05,4.4,26.4,
1.07,4.1,26.2,,1.07,4.4,26.4,
1.08,4.1,26.2,,1.08,4.4,26.4,
1.1,4.2,26.2,,1.1,4.4,26.4,
1.12,4.2,26.2,,1.12,4.4,26.4,3.5
