Run 2: Time (min) (±0.01 min),Run 2: pH (±0.3 pH),Run 2: Temperature (°C) (±0.1°C),Run 2: Volume of NaOH Added (cm^3) (±0.02 cm^3),Run 1: Time (min) (±0.01 min),Run 1: pH (±0.3 pH),Run 1: Temperature (°C) (±0.1°C),Run 1: Volume of NaOH Added (cm^3) (±0.02 cm^3),Run 3: Time (min) (±0.01 min),Run 3: pH (±0.3 pH),Run 3: Temperature (°C) (±0.1°C),Run 3: Volume of NaOH Added (cm^3) (±0.02 cm^3)
0.0,3.4,26.0,0.0,0.0,3.4,25.9,0.0,0.0,3.3,25.9,0.0
0.02,3.4,26.0,,0.02,3.4,25.9,,0.02,3.4,25.9,
0.03,3.4,26.0,,0.03,3.4,25.9,,0.03,3.4,25.9,
0.05,3.4,26.0,,0.05,3.4,25.9,,0.05,3.4,25.9,
0.07,3.4,26.0,,0.07,3.4,25.9,,0.07,3.4,25.9,
0.08,3.4,26.0,,0.08,3.4,25.9,,0.08,3.4,25.9,
0.1,3.4,26.0,,0.1,3.4,25.9,,0.1,3.4,25.9,
0.12,3.4,26.0,,0.12,3.4,25.9,,0.12,3.4,25.9,
0.13,3.4,26.0,,0.13,3.4,25.9,,0.13,3.4,25.9,
0.15,3.4,26.0,,0.15,3.4,25.9,,0.15,3.4,25.9,
0.17,3.4,26.0,,0.17,3.4,25.9,,0.17,3.4,25.9,
0.18,3.4,26.0,,0.18,3.4,25.9,,0.18,3.4,25.9,
0.2,3.4,26.0,,0.2,3.4,25.9,,0.2,3.4,25.9,
0.22,3.4,26.0,,0.22,3.4,25.9,,0.22,3.4,25.9,
0.23,3.4,26.0,,0.23,3.4,25.9,,0.23,3.4,25.9,
0.25,3.4,26.0,,0.25,3.4,25.9,,0.25,3.4,25.9,
0.27,3.4,26.0,,0.27,3.4,25.9,,0.27,3.4,25.9,
0.28,3.4,26.0,,0.28,3.4,25.9,,0.28,3.4,25.9,
0.3,3.4,26.0,,0.3,3.4,25.9,,0.3,3.4,25.9,
0.32,3.4,26.0,,0.32,3.4,25.9,,0.32,3.4,25.9,
0.33,3.4,26.0,,0.33,3.4,25.9,,0.33,3.4,25.9,
0.35,3.4,26.0,,0.35,3.4,25.9,,0.35,3.4,25.9,
0.37,3.4,26.0,,0.37,3.4,25.9,,0.37,3.4,25.9,
0.38,3.4,26.0,,0.38,3.4,25.9,,0.38,3.4,25.9,
0.4,3.4,26.0,,0.4,3.4,25.9,,0.4,3.4,25.9,
0.42,3.4,26.0,,0.42,3.4,25.9,,0.42,3.4,25.9,
0.43,3.4,26.0,,0.43,3.4,25.9,,0.43,3.4,25.9,
0.45,3.4,26.0,,0.45,3.4,25.9,,0.45,3.4,25.9,
0.47,3.4,26.0,,0.47,3.4,25.9,,0.47,3.4,25.9,
0.48,3.4,26.0,,0.48,3.4,25.9,,0.48,3.4,25.9,
0.5,3.4,26.0,,0.5,3.4,25.9,,0.5,3.4,25.9,
0.52,3.4,26.0,,0.52,3.4,25.9,,0.52,3.4,25.9,
0.53,3.4,26.0,,0.53,3.4,25.9,,0.53,3.4,25.9,
0.55,3.4,26.0,,0.55,3.4,25.9,,0.55,3.4,25.9,
0.57,3.4,26.0,,0.57,3.5,25.9,,0.57,3.5,25.9,
0.58,3.4,26.0,,0.58,3.5,25.9,,0.58,3.5,25.9,
0.6,3.4,26.0,,0.6,3.5,25.9,0.5,0.6,3.5,25.9,0.5
0.62,3.4,26.0,,0.62,3.6,25.9,,0.62,3.5,25.9,
0.63,3.4,26.0,,0.63,3.6,25.9,,0.63,3.6,25.9,
0.65,3.4,26.0,,0.65,3.6,25.9,,0.65,3.6,25.9,
0.67,3.4,26.0,,0.67,3.7,25.9,,0.67,3.7,25.9,
0.68,3.4,26.0,,0.68,3.7,25.9,,0.68,3.7,25.9,
0.7,3.4,26.0,,0.7,3.7,25.9,,0.7,3.7,25.9,
