"Latest: Time (min)","Latest: pH","Latest: Temperature (°C)","Latest: Volume of NaOH Added (cm³)"
0,3.35366156754,25.3539643683,0
0.0166666666667,3.35336406655,25.3525150908,
0.0333333333333,3.35336406655,25.3525150908,
0.05,3.35425656952,25.3525150908,
0.0666666666667,3.35366156754,25.3510658125,
0.0833333333333,3.35455407052,25.3525150908,
0.1,3.3551490725,25.3525150908,
0.116666666667,3.3551490725,25.3510658125,
0.133333333333,3.35544657349,25.3525150908,
0.15,3.35544657349,25.3525150908,
0.166666666667,3.35723157944,25.3525150908,
0.183333333333,3.35663657746,25.3510658125,
0.2,3.35752908044,25.3510658125,
0.216666666667,3.35782658143,25.3525150908,
0.233333333333,3.35812408242,25.3510658125,
0.25,3.35812408242,25.3510658125,
0.266666666667,3.3587190844,25.3510658125,
0.283333333333,3.35931408639,25.3510658125,
0.3,3.35990908837,25.3510658125,
0.316666666667,3.36080159135,25.3510658125,
0.333333333333,3.36050409036,25.3510658125,
0.35,3.36139659333,25.3510658125,
0.366666666667,3.36169409432,25.3510658125,
0.383333333333,3.36199159532,25.3510658125,
0.4,3.36199159532,25.3496165332,
0.416666666667,3.36199159532,25.3510658125,
0.433333333333,3.36199159532,25.3510658125,
0.45,3.36228909631,25.3510658125,
0.466666666667,3.3625865973,25.3510658125,
0.483333333333,3.36288409829,25.3510658125,
0.5,3.36318159928,25.3510658125,
0.516666666667,3.36347910028,25.3525150908,
0.533333333333,3.36347910028,25.3510658125,
0.55,3.36347910028,25.3510658125,
0.566666666667,3.36496660524,25.3510658125,
0.583333333333,3.37032162309,25.3510658125,
0.6,3.3848991717,25.3510658125,
0.616666666667,3.40334423321,25.3525150908,
0.633333333333,3.42773931455,25.3525150908,
0.65,3.44380436812,25.3510658125,
0.666666666667,3.46552194054,25.3510658125,
0.683333333333,3.48426450304,25.3539643683,
0.7,3.50270956454,25.3525150908,
0.716666666667,3.52026212307,25.3539643683,
0.733333333333,3.54049219053,25.3539643683,
0.75,3.56518477287,25.3568629207,
0.766666666667,3.59047235719,25.3525150908,0.5
0.783333333333,3.60832241671,25.3539643683,
0.8,3.62468497127,25.3583121956,
0.816666666667,3.63658501095,25.3641092865,
0.833333333333,3.64997255559,25.3626600151,
0.85,3.66484760519,25.3568629207,
0.866666666667,3.67823514983,25.3655585572,
0.883333333333,3.69459770439,25.3670078269,
