Latest: Time (min),Latest: pH,Latest: Temperature (°C),Latest: Volume of NaOH Added (cm³),Run 1: Time (min),Run 1: pH,Run 1: Temperature (°C),Run 1: Volume of NaOH Added (cm³)
0,3.443,26.020585182,0,0,3.416,25.8626271938,0
0.0166666666667,3.418,26.020585182,,0.0166666666667,3.432,25.8626271938,
0.0333333333333,3.424,26.023483529,,0.0333333333333,3.423,25.8626271938,
0.05,3.429,26.0220343553,,0.05,3.458,25.8655254823,
0.0666666666667,3.415,26.023483529,,0.0666666666667,3.383,25.8626271938,
0.0833333333333,3.429,26.023483529,,0.0833333333333,3.426,25.8626271938,
0.1,3.436,26.0249327031,,0.1,3.560,25.864076338,
0.116666666667,3.447,26.023483529,,0.116666666667,3.426,25.864076338,
0.133333333333,3.415,26.023483529,,0.133333333333,3.444,25.8626271938,
0.15,3.434,26.0249327031,,0.15,3.430,25.8626271938,
0.166666666667,3.397,26.020585182,,0.166666666667,3.407,25.8611780496,
0.183333333333,3.417,26.0249327031,,0.183333333333,3.356,25.8611780496,
0.2,3.387,26.0220343553,,0.2,3.447,25.864076338,
0.216666666667,3.404,26.020585182,,0.216666666667,3.371,25.8626271938,
0.233333333333,3.412,26.020585182,,0.233333333333,3.445,25.8597289056,
0.25,3.434,26.0220343553,,0.25,3.437,25.8626271938,
0.266666666667,3.445,26.0249327031,,0.266666666667,3.403,25.8626271938,
0.283333333333,3.406,26.0249327031,,0.283333333333,3.427,25.8611780496,
0.3,3.378,26.0220343553,,0.3,3.431,25.8611780496,
0.316666666667,3.419,26.020585182,,0.316666666667,3.436,25.8611780496,
0.333333333333,3.366,26.0220343553,,0.333333333333,3.457,25.8597289056,
0.35,3.400,26.020585182,,0.35,3.425,25.8597289056,
0.366666666667,3.433,26.0220343553,,0.366666666667,3.441,25.8611780496,
0.383333333333,3.472,26.0162376647,,0.383333333333,3.470,25.8597289056,
0.4,3.413,26.0162376647,,0.4,3.393,25.8582797617,
0.416666666667,3.415,26.0176868367,,0.416666666667,3.410,25.8597289056,
0.433333333333,3.398,26.0191360091,,0.433333333333,3.407,25.8582797617,
0.45,3.412,26.0191360091,,0.45,3.406,25.8597289056,
0.466666666667,3.444,26.0176868367,,0.466666666667,3.395,25.8568306179,
0.483333333333,3.452,26.0176868367,,0.483333333333,3.399,25.8553814742,
0.5,3.412,26.0162376647,,0.5,3.419,25.8553814742,
0.516666666667,3.423,26.014788493,,0.516666666667,3.439,25.8539323307,
0.533333333333,3.417,26.0176868367,,0.533333333333,3.461,25.8597289056,
0.55,3.377,26.014788493,,0.55,3.460,25.8597289056,
0.566666666667,3.423,26.0133393218,,0.566666666667,3.461,25.8626271938,
0.583333333333,3.428,26.007542641,,0.583333333333,3.507,25.8756694962,
0.6,3.434,26.007542641,,0.6,3.577,25.8800169328,0.5
0.616666666667,3.426,26.0060934717,,0.616666666667,3.516,25.8829152245,
0.633333333333,3.426,26.0046443029,,0.633333333333,3.636,25.8829152245,
0.65,3.421,26.0031951344,,0.65,3.650,25.8843643706,
0.666666666667,3.425,26.0017459664,,0.666666666667,3.650,25.8829152245,
0.683333333333,3.434,26.0017459664,,0.683333333333,3.697,25.8858135169,
0.7,3.460,26.0017459664,,0.7,3.738,25.8872626633,
0.716666666667,3.454,26.0017459664,,0.716666666667,3.789,25.8901609566,
0.733333333333,3.410,26.0031951344,,0.733333333333,3.808,25.8959575453,
0.75,3.426,26.0060934717,,0.75,3.827,25.8959575453,
0.766666666667,3.450,26.011890151,,0.766666666667,3.790,25.9017541367,
0.783333333333,3.473,26.014788493,,0.783333333333,3.857,25.9061015823,
0.8,3.530,26.0162376647,,0.8,3.820,25.9075507312,1
0.816666666667,3.559,26.0220343553,,0.816666666667,3.866,25.9118981792,
0.833333333333,3.637,26.0278310526,0.5,0.833333333333,3.920,25.9147964789,
0.85,3.693,26.0365261116,,0.85,3.896,25.9118981792,
0.866666666667,3.718,26.0394244682,,0.866666666667,3.942,25.9147964789,
0.883333333333,3.703,26.0408736471,,0.883333333333,4.007,25.916245629,
0.9,3.741,26.0437720064,,0.9,3.937,25.9205930808,
0.916666666667,3.816,26.0466703675,,0.916666666667,3.974,25.9234913831,1.5
0.933333333333,3.841,26.0510179127,,0.933333333333,3.995,25.9220422318,
0.95,3.827,26.0510179127,1,0.95,4.004,25.9263896863,
0.966666666667,3.894,26.0524670954,,0.966666666667,3.989,25.9278388383,
0.983333333333,3.894,26.0539162786,,0.983333333333,3.999,25.9321862956,
1,3.955,26.0582638309,,1,4.040,25.9336354485,
1.01666666667,3.921,26.0640605743,,1.01666666667,4.049,25.9336354485,
1.03333333333,3.963,26.066958949,,1.03333333333,4.123,25.9379829088,
1.05,3.930,26.0684081371,,1.05,4.093,25.9394320628,
1.06666666667,3.992,26.0684081371,,1.06666666667,4.083,25.9423303715,
1.08333333333,4.011,26.0684081371,,1.08333333333,4.064,25.955372774,
1.1,4.010,26.0684081371,,1.1,4.116,25.9611694049,
1.11666666667,4.055,26.0698573257,,1.11666666667,4.125,25.9568219313,
1.13333333333,4.055,26.0684081371,,1.13333333333,4.176,25.9655168812,
1.15,4.054,26.0727557045,,1.15,4.184,25.9713135206,
1.16666666667,4.020,26.0742048946,,1.16666666667,4.184,25.9742118422,
1.18333333333,4.095,26.0756540853,,1.18333333333,4.197,25.9756610035,
1.2,4.140,26.0771032765,,1.2,4.207,25.9756610035,2.5
1.21666666667,4.161,26.0872476298,,1.21666666667,4.215,25.9756610035,
1.23333333333,4.166,26.0886968253,2.5,1.23333333333,4.189,25.9800084895,
1.25,4.144,26.0886968253,,1.25,4.173,25.9829068151,
1.26666666667,4.150,26.0915952179,,1.26666666667,4.200,25.9829068151,
1.28333333333,4.212,26.095942811,,1.28333333333,4.192,25.9887034705,
1.3,4.189,26.095942811,,1.3,4.200,25.9872543062,
1.31666666667,4.237,26.0988412092,,1.31666666667,4.253,25.9945001317,
1.33333333333,4.190,26.0988412092,,1.33333333333,4.221,25.9945001317,
1.35,4.268,26.1046380124,,1.35,4.246,25.9959492979,
1.36666666667,4.222,26.1060872147,,1.36666666667,4.243,25.9973984644,3
1.38333333333,4.306,26.1060872147,,1.38333333333,4.288,25.9988476314,
1.4,4.301,26.1104348249,,1.4,4.326,25.9988476314,
1.41666666667,4.350,26.1133332347,,1.41666666667,4.238,25.9988476314,
1.43333333333,4.317,26.1133332347,,1.43333333333,4.321,26.0002967987,
1.45,4.313,26.1147824405,,1.45,4.289,25.9988476314,3.5
1.46666666667,4.317,26.1162316469,,1.46666666667,4.307,26.0002967987,
1.48333333333,4.370,26.1191300614,,1.48333333333,4.344,26.0017459664,
1.5,4.388,26.1191300614,,1.5,4.379,26.0031951344,
1.51666666667,4.354,26.1249268979,,1.51666666667,4.300,26.0017459664,
1.53333333333,4.343,26.1307237442,,1.53333333333,4.434,26.0089918106,
1.55,4.383,26.1394190326,,1.55,4.327,26.0133393218,
1.56666666667,4.369,26.1394190326,4,1.56666666667,4.429,26.014788493,
1.58333333333,4.379,26.1423174672,,1.58333333333,4.412,26.0220343553,
1.6,4.390,26.1437666855,,1.6,4.335,26.0220343553,
1.61666666667,4.432,26.1495635652,,1.61666666667,4.405,26.0249327031,4
1.63333333333,4.434,26.1524620091,,1.63333333333,4.380,26.0307294039,
1.65,4.501,26.1553604556,,1.65,4.415,26.035076934,
1.66666666667,4.464,26.1553604556,,1.66666666667,4.385,26.0365261116,
1.68333333333,4.400,26.1568096798,,1.68333333333,4.397,26.0379752897,
1.7,4.474,26.1582589048,,1.7,4.429,26.0423228265,
1.71666666667,4.499,26.1582589048,,1.71666666667,4.419,26.0437720064,
1.73333333333,4.483,26.1568096798,,1.73333333333,4.469,26.0452211867,
1.75,4.528,26.1553604556,5,1.75,4.459,26.0466703675,
1.76666666667,4.502,26.1582589048,,1.76666666667,4.434,26.0466703675,4.5
1.78333333333,4.522,26.1582589048,,1.78333333333,4.486,26.0481195488,
