Run 1: Time (min),Run 1: pH,Run 1: Temperature (°C),Run 1: Volume of NaOH Added (cm³),Run 2: Time (min),Run 2: Temperature (°C),Run 2: pH,Run 2: Volume of NaOH Added (cm³),Run 3: Time (min),Run 3: pH,Run 3: Temperature (°C),Run 3: Volume of NaOH Added (cm³)
0,3.157,25.5887378132,0,0,25.6916282012,3.181,0,0,3.157,25.5887378132,0
0.0166666666667,3.164,25.5858394668,,0.0166666666667,25.6930773514,3.129,,0.0166666666667,3.164,25.5858394668,
0.0333333333333,3.164,25.5872886402,,0.0333333333333,25.6916282012,3.175,,0.0333333333333,3.164,25.5872886402,
0.05,3.147,25.5843902929,,0.05,25.6901790508,3.138,,0.05,3.147,25.5843902929,
0.0666666666667,3.164,25.5814919439,,0.0666666666667,25.6901790508,3.143,,0.0666666666667,3.164,25.5814919439,
0.0833333333333,3.153,25.5814919439,,0.0833333333333,25.6858315981,3.162,,0.0833333333333,3.153,25.5814919439,
0.1,3.172,25.5829411186,,0.1,25.6843824468,3.171,,0.1,3.172,25.5829411186,
0.116666666667,3.134,25.5800427688,,0.116666666667,25.6843824468,3.185,,0.116666666667,3.134,25.5800427688,
0.133333333333,3.163,25.5785935932,,0.133333333333,25.6829332952,3.198,,0.133333333333,3.163,25.5785935932,
0.15,3.175,25.5800427688,,0.15,25.6814841434,3.164,,0.15,3.175,25.5800427688,
0.166666666667,3.167,25.5800427688,,0.166666666667,25.6814841434,3.172,,0.166666666667,3.167,25.5800427688,
0.183333333333,3.179,25.5800427688,,0.183333333333,25.6800349914,3.229,,0.183333333333,3.179,25.5800427688,
0.2,3.167,25.5814919439,,0.2,25.6800349914,3.188,,0.2,3.167,25.5814919439,
0.216666666667,3.196,25.5800427688,,0.216666666667,25.6742383808,3.151,,0.216666666667,3.196,25.5800427688,
0.233333333333,3.171,25.5829411186,,0.233333333333,25.6742383808,3.180,,0.233333333333,3.171,25.5829411186,
0.25,3.173,25.5843902929,,0.25,25.6771366866,3.158,,0.25,3.173,25.5843902929,
0.266666666667,3.158,25.5829411186,,0.266666666667,25.6727892276,3.208,,0.266666666667,3.158,25.5829411186,
0.283333333333,3.176,25.5829411186,,0.283333333333,25.6742383808,3.111,,0.283333333333,3.176,25.5829411186,
0.3,3.146,25.5814919439,,0.3,25.6742383808,3.181,,0.3,3.146,25.5814919439,
0.316666666667,3.204,25.5829411186,,0.316666666667,25.6742383808,3.187,,0.316666666667,3.204,25.5829411186,
0.333333333333,3.158,25.5800427688,,0.333333333333,25.6742383808,3.156,,0.333333333333,3.158,25.5800427688,
0.35,3.174,25.5829411186,,0.35,25.6727892276,3.190,,0.35,3.174,25.5829411186,
0.366666666667,3.216,25.5800427688,,0.366666666667,25.6698909203,3.180,,0.366666666667,3.216,25.5800427688,
0.383333333333,3.162,25.5843902929,,0.383333333333,25.6727892276,3.130,,0.383333333333,3.162,25.5843902929,
0.4,3.234,25.5872886402,,0.4,25.6698909203,3.220,,0.4,3.234,25.5872886402,
0.416666666667,3.278,25.5930853298,,0.416666666667,25.671340074,3.316,,0.416666666667,3.278,25.5930853298,
0.433333333333,3.260,25.5959836722,,0.433333333333,25.6727892276,3.358,,0.433333333333,3.26,25.5959836722,
0.45,3.326,25.5974328427,,0.45,25.6800349914,3.440,,0.45,3.326,25.5974328427,
0.466666666667,3.369,25.5988820129,,0.466666666667,25.6771366866,3.498,,0.466666666667,3.369,25.5988820129,
0.483333333333,3.408,25.6003311827,,0.483333333333,25.6814841434,3.507,,0.483333333333,3.408,25.6003311827,
0.5,3.394,25.6003311827,0.5,0.5,25.6800349914,3.519,1,0.5,3.3795046577226,25.6003311827,0.5
0.516666666667,3.346,25.6003311827,,0.516666666667,25.6814841434,3.544,,0.516666666667,3.3315046577225997,25.6003311827,
0.533333333333,3.463,25.6003311827,,0.533333333333,25.6814841434,3.656,,0.533333333333,3.4485046577225997,25.6003311827,
0.55,3.416,25.6017803521,,0.55,25.6858315981,3.590,,0.55,3.4015046577225996,25.6017803521,
0.566666666667,3.436,25.6003311827,,0.566666666667,25.6843824468,3.609,,0.566666666667,3.4215046577225996,25.6003311827,
0.583333333333,3.445,25.6017803521,,0.583333333333,25.6872807492,3.638,,0.583333333333,3.4305046577225995,25.6017803521,
0.6,3.561,25.6017803521,,0.6,25.6843824468,3.693,,0.6,3.5465046577225996,25.6017803521,
0.616666666667,3.513,25.6017803521,,0.616666666667,25.6901790508,3.676,,0.616666666667,3.4985046577225996,25.6017803521,
0.633333333333,3.550,25.6017803521,,0.633333333333,25.6858315981,3.710,,0.633333333333,3.5355046577225995,25.6017803521,
0.65,3.558,25.603229521,,0.65,25.6872807492,3.688,,0.65,3.5435046577225995,25.603229521,
0.666666666667,3.568,25.6017803521,,0.666666666667,25.6872807492,3.725,1.5,0.666666666667,3.5535046577225997,25.6017803521,
