NaCl_mol_dm3,trial,V_NaOH_cm3,pH
0.00,1,0.00,3.69
0.00,1,2.00,4.31
0.00,1,4.00,4.69
0.00,1,6.00,4.96
0.00,1,13.00,5.61
0.00,1,14.00,5.71
0.00,1,17.00,6.05
0.00,1,21.00,7.01
0.00,1,23.00,8.58
0.00,1,27.00,12.60
0.00,1,36.00,12.99
0.00,1,42.00,13.17
0.00,2,0.00,3.58
0.00,2,0.50,3.69
0.00,2,1.00,3.93
0.00,2,1.50,4.07
0.00,2,2.00,4.20
0.00,2,2.50,4.32
0.00,2,3.00,4.41
0.00,2,3.50,4.47
0.00,2,4.00,4.58
0.00,2,4.50,4.62
0.00,2,5.00,4.68
0.00,2,5.50,4.72
0.00,2,6.00,4.77
0.00,2,6.50,4.81
0.00,2,7.00,4.86
0.00,2,7.50,4.91
0.00,2,8.00,4.95
0.00,2,8.50,5.00
0.00,2,9.00,5.03
0.00,2,9.50,5.07
0.00,2,10.00,5.10
0.00,2,11.50,5.21
0.00,2,12.00,5.24
0.00,2,12.50,5.29
0.00,2,13.00,5.32
0.00,2,13.50,5.37
0.00,2,14.00,5.41
0.00,2,14.50,5.44
0.00,2,15.00,5.48
0.00,2,15.50,5.52
0.00,2,16.00,5.56
0.00,2,16.50,5.60
0.00,2,17.00,5.65
0.00,2,17.50,5.69
0.00,2,18.00,5.73
0.00,2,18.50,5.78
0.00,2,19.00,5.84
0.00,2,19.50,5.90
0.00,2,20.00,5.95
0.00,2,20.50,6.04
0.00,2,21.00,6.11
0.00,2,21.50,6.18
0.00,2,22.50,6.39
0.00,2,22.70,6.50
0.00,2,23.00,6.63
0.00,2,23.20,6.72
0.00,2,23.50,6.82
0.00,2,23.70,6.96
0.00,2,24.00,7.14
0.00,2,24.20,7.40
0.00,2,24.50,7.74
0.00,2,24.70,8.42
0.00,2,25.00,9.66
0.00,2,25.20,10.59
0.00,2,25.50,11.32
0.00,2,25.70,11.69
0.00,2,26.00,11.92
0.00,2,26.20,12.01
0.00,2,26.50,12.11
0.00,2,27.00,12.20
0.00,2,27.50,12.28
0.00,2,28.00,12.34
0.00,3,0.00,3.56
0.00,3,0.50,3.63
0.00,3,1.00,3.82
0.00,3,1.50,4.00
0.00,3,2.00,4.14
0.00,3,2.50,4.21
0.00,3,3.00,4.34
0.00,3,3.50,4.41
0.00,3,4.00,4.50
0.00,3,4.50,4.56
0.00,3,5.00,4.62
0.00,3,5.50,4.66
0.00,3,6.00,4.71
0.00,3,6.50,4.76
0.00,3,7.00,4.81
0.00,3,7.50,4.85
0.00,3,8.00,4.89
0.00,3,8.50,4.94
0.00,3,9.00,4.98
0.00,3,9.50,5.01
0.00,3,10.00,5.06
0.00,3,11.00,5.11
0.00,3,12.00,5.19
0.00,3,12.50,5.23
0.00,3,13.00,5.26
0.00,3,13.50,5.30
0.00,3,14.00,5.34
0.00,3,14.50,5.38
0.00,3,15.00,5.43
0.00,3,15.50,5.47
0.00,3,16.00,5.50
0.00,3,16.50,5.53
0.00,3,17.00,5.58
0.00,3,17.50,5.62
0.00,3,18.00,5.67
0.00,3,18.50,5.72
0.00,3,19.00,5.77
0.00,3,19.50,5.81
0.00,3,20.00,5.87
0.00,3,20.50,5.95
0.00,3,21.00,6.01
0.00,3,21.50,6.09
0.00,3,21.70,6.14
0.00,3,22.00,6.19
0.00,3,22.20,6.24
0.00,3,22.50,6.29
0.00,3,23.00,6.43
0.00,3,23.20,6.54
0.00,3,23.50,6.66
0.00,3,23.70,6.75
0.00,3,24.00,6.85
0.00,3,24.20,6.96
0.00,3,24.50,7.14
0.00,3,24.70,7.33
0.00,3,25.00,7.53
0.00,3,25.20,7.80
0.00,3,25.50,8.10
0.00,3,25.70,8.51
0.00,3,26.00,8.94
0.00,3,26.20,9.43
0.00,3,26.50,10.02
0.00,3,26.70,10.55
0.00,3,27.00,10.92
0.00,3,27.50,11.71
0.00,3,28.00,11.91
0.00,3,28.50,12.04
0.00,3,29.00,12.17
0.00,3,29.50,12.22
0.00,3,30.00,12.26
0.00,3,30.50,12.31
0.00,3,31.00,12.36
0.00,4,0.00,3.49
0.00,4,0.50,3.64
0.00,4,1.00,3.83
0.00,4,1.50,4.02
0.00,4,2.00,4.12
0.00,4,2.50,4.22
0.00,4,3.00,4.31
0.00,4,3.50,4.39
0.00,4,4.00,4.46
0.00,4,4.50,4.51
0.00,4,5.00,4.57
0.00,4,5.50,4.63
0.00,4,6.00,4.67
0.00,4,6.50,4.72
0.00,4,7.00,4.77
0.00,4,7.50,4.81
0.00,4,8.00,4.86
0.00,4,8.50,4.90
0.00,4,9.00,4.94
0.00,4,9.50,4.98
0.00,4,10.00,5.03
0.00,4,10.50,5.05
0.00,4,11.00,5.09
0.00,4,11.50,5.14
0.00,4,12.00,5.17
0.00,4,12.50,5.21
0.00,4,13.00,5.25
0.00,4,13.50,5.28
0.00,4,14.00,5.32
0.00,4,14.50,5.37
0.00,4,15.00,5.40
0.00,4,15.50,5.43
0.00,4,16.00,5.49
0.00,4,16.50,5.54
0.00,4,17.00,5.58
0.00,4,17.50,5.63
0.00,4,18.00,5.67
0.00,4,18.20,5.70
0.00,4,18.50,5.73
0.00,4,18.70,5.75
0.00,4,19.00,5.78
0.00,4,19.20,5.81
0.00,4,19.50,5.83
0.00,4,19.70,5.86
0.00,4,20.00,5.90
0.00,4,20.20,5.92
0.00,4,20.50,5.97
0.00,4,20.70,6.00
0.00,4,21.00,6.05
0.00,4,21.50,6.08
0.00,4,22.00,6.22
0.00,4,22.20,6.29
0.00,4,22.50,6.37
0.00,4,22.70,6.46
0.00,4,23.00,6.58
0.00,4,23.20,6.67
0.00,4,23.50,6.77
0.00,4,23.70,6.89
0.00,4,24.00,7.04
0.00,4,24.20,7.20
0.00,4,24.50,7.35
0.00,4,24.70,7.59
0.00,4,25.00,7.79
0.00,4,25.20,8.02
0.00,4,25.50,8.46
0.00,4,25.70,8.90
0.00,4,26.00,10.15
0.00,4,26.50,11.47
0.00,4,27.00,11.92
0.00,4,27.50,12.09
0.00,4,28.00,12.16
0.00,4,28.50,12.24
0.00,4,29.00,12.31
0.00,4,29.50,12.35
0.00,4,30.00,12.38
0.00,4,30.50,12.41
0.00,4,31.00,12.45
0.00,4,31.50,12.48
0.20,1,0.00,3.37
0.20,1,0.50,3.41
0.20,1,1.00,3.69
0.20,1,2.00,4.07
0.20,1,2.50,4.17
0.20,1,3.00,4.26
0.20,1,3.50,4.34
0.20,1,4.00,4.39
0.20,1,5.00,4.53
0.20,1,5.50,4.58
0.20,1,6.00,4.63
0.20,1,6.50,4.68
0.20,1,7.00,4.73
0.20,1,7.50,4.78
0.20,1,8.00,4.83
0.20,1,8.50,4.87
0.20,1,9.00,4.91
0.20,1,9.50,4.94
0.20,1,10.00,4.98
0.20,1,10.50,5.03
0.20,1,11.00,5.05
0.20,1,12.00,5.15
0.20,1,12.50,5.18
0.20,1,13.00,5.23
0.20,1,14.00,5.30
0.20,1,14.50,5.35
0.20,1,15.00,5.39
0.20,1,15.50,5.44
0.20,1,16.00,5.48
0.20,1,16.50,5.53
0.20,1,17.00,5.58
0.20,1,17.50,5.63
0.20,1,18.00,5.67
0.20,1,18.50,5.72
0.20,1,19.00,5.77
