Time (min),0.00M_Run1,0.00M_Run2,0.20M_Run1,0.20M_Run2,0.20M_Run3,0.40M_Run1,0.40M_Run2,0.40M_Run3,0.50M_Run1,0.50M_Run2,0.50M_Run3,0.60M_Run1,0.60M_Run2,0.60M_Run3,0.80M_Run1,0.80M_Run2,0.80M_Run3
0.0,26.3,26.2,25.4,25.0,25.4,25.1,26.4,26.1,25.9,26.0,25.9,25.6,25.7,25.7,26.0,26.3,26.3
0.02,26.3,26.2,25.4,25.0,25.4,25.1,26.4,26.0,25.9,26.0,25.9,25.6,25.7,25.7,26.0,26.3,26.3
0.03,26.3,26.2,25.4,25.0,25.4,25.1,26.4,26.1,25.9,26.0,25.9,25.6,25.7,25.7,26.0,26.3,26.2
0.05,26.3,26.2,25.4,25.0,25.4,25.1,26.4,26.1,25.9,26.0,25.9,25.6,25.7,25.7,26.0,26.3,26.2
0.07,26.3,26.2,25.4,25.0,25.4,25.1,26.4,26.1,25.9,26.0,25.9,25.6,25.7,25.7,26.0,26.3,26.2
0.08,26.3,26.2,25.4,25.0,25.4,25.1,26.4,26.1,25.9,26.0,25.9,25.6,25.7,25.7,26.0,26.3,26.2
0.1,26.3,26.2,25.4,25.0,25.4,25.1,26.4,26.1,25.9,26.0,25.9,25.6,25.7,25.7,26.0,26.3,26.2
0.12,26.3,26.2,25.4,25.0,25.4,25.1,26.4,26.1,25.9,26.0,25.9,25.6,25.7,25.7,26.0,26.3,26.2
0.13,26.3,26.2,25.4,25.0,25.4,25.1,26.4,26.1,25.9,26.0,25.9,25.6,25.7,25.7,26.0,26.3,26.2
0.15,26.3,26.2,25.4,25.0,25.4,25.1,26.4,26.1,25.9,26.0,25.9,25.6,25.7,25.7,26.0,26.3,26.2
0.17,26.3,26.2,25.4,25.0,25.4,25.1,26.4,26.1,25.9,26.0,25.9,25.6,25.7,25.7,26.0,26.3,26.2
0.18,26.3,26.2,25.4,24.9,25.4,25.1,26.4,26.1,25.9,26.0,25.9,25.6,25.7,25.7,26.0,26.3,26.2
0.2,26.3,26.2,25.4,24.9,25.4,25.1,26.4,26.1,25.9,26.0,25.9,25.6,25.7,25.7,26.0,26.3,26.2
0.22,26.3,26.2,25.4,25.1,25.4,25.1,26.4,26.1,25.9,26.0,25.9,25.6,25.7,25.7,26.0,26.3,26.2
0.23,26.3,26.2,25.4,25.1,25.4,25.1,26.4,26.1,25.9,26.0,25.9,25.6,25.7,25.7,26.0,26.3,26.2
0.25,26.3,26.2,25.4,25.2,25.4,25.1,26.4,26.1,25.9,26.0,25.9,25.6,25.7,25.7,26.0,26.3,26.2
0.27,26.3,26.2,25.4,25.2,25.4,25.1,26.4,26.1,25.9,26.0,25.9,25.6,25.7,25.7,26.0,26.3,26.2
0.28,26.3,26.2,25.4,25.3,25.4,25.1,26.4,26.1,25.9,26.0,25.9,25.6,25.7,25.7,26.0,26.3,26.2
0.3,26.3,26.2,25.4,25.3,25.4,25.1,26.4,26.1,25.9,26.0,25.9,25.6,25.7,25.7,26.0,26.3,26.2
0.32,26.3,26.2,25.4,25.3,25.4,25.1,26.4,26.1,25.9,26.0,25.9,25.6,25.7,25.7,26.0,26.3,26.2
0.33,26.3,26.2,25.4,25.3,25.4,25.1,26.4,26.1,25.9,26.0,25.9,25.6,25.7,25.7,26.0,26.3,26.2
0.35,26.3,26.2,25.4,25.3,25.4,25.1,26.4,26.1,25.9,26.0,25.9,25.6,25.7,25.7,26.0,26.3,26.2
0.37,26.3,26.2,25.4,25.3,25.4,25.1,26.4,26.1,25.9,26.0,25.9,25.6,25.7,25.7,26.0,26.3,26.2
0.38,26.3,26.2,25.4,25.3,25.4,25.1,26.4,26.1,25.9,26.0,25.9,25.6,25.7,25.7,26.0,26.3,26.2
0.4,26.3,26.2,25.4,25.3,25.4,25.1,26.4,26.1,25.9,26.0,25.9,25.6,25.7,25.7,26.0,26.3,26.2
0.42,26.3,26.2,25.4,25.3,25.4,25.1,26.4,26.1,25.9,26.0,25.9,25.6,25.7,25.7,26.0,26.3,26.2
0.43,26.3,26.2,25.4,25.3,25.4,25.1,26.4,26.1,25.9,26.0,25.9,25.6,25.7,25.7,26.0,26.3,26.2
0.45,26.3,26.2,25.4,25.3,25.4,25.1,26.4,26.1,25.9,26.0,25.9,25.6,25.7,25.7,26.0,26.3,26.2
0.47,26.3,26.2,25.4,25.3,25.4,25.1,26.4,26.1,25.9,26.0,25.9,25.6,25.7,25.7,26.0,26.3,26.2
0.48,26.3,26.2,25.4,25.3,25.4,25.1,26.4,26.1,25.9,26.0,25.9,25.6,25.7,25.7,26.0,26.3,26.2
0.5,26.3,26.2,25.4,25.3,25.4,25.1,26.4,26.1,25.9,26.0,25.9,25.6,25.7,25.7,26.0,26.3,26.2
0.52,26.3,26.2,25.4,25.3,25.4,25.1,26.4,26.1,25.9,26.0,25.9,25.6,25.7,25.7,26.0,26.3,26.2
0.53,26.3,26.2,25.4,25.3,25.4,25.1,26.4,26.1,25.9,26.0,25.9,25.6,25.7,25.7,26.0,26.3,26.2
0.55,26.3,26.2,25.4,25.3,25.4,25.1,26.4,26.1,25.9,26.0,25.9,25.6,25.7,25.7,26.0,26.3,26.2
0.57,26.3,26.2,25.4,25.3,25.4,25.1,26.4,26.1,25.9,26.0,25.9,25.6,25.7,25.7,26.0,26.3,26.2
0.58,26.3,26.2,25.4,25.3,25.4,25.1,26.4,26.1,25.9,26.0,25.9,25.6,25.7,25.7,26.0,26.3,26.2
0.6,26.3,26.2,25.4,25.3,25.4,25.1,26.4,26.1,25.9,26.0,25.9,25.6,25.7,25.7,26.0,26.3,26.2
0.62,26.3,26.2,25.5,25.3,25.5,25.1,26.4,26.1,25.9,26.0,25.9,25.6,25.7,25.7,26.0,26.3,26.2
0.63,26.3,26.2,25.5,25.3,25.5,25.1,26.4,26.1,25.9,26.0,25.9,25.6,25.7,25.7,26.0,26.3,26.2
0.65,26.3,26.2,25.5,25.3,25.5,25.1,26.5,26.1,25.9,26.0,25.9,25.6,25.7,25.7,26.0,26.3,26.2
0.67,26.3,26.2,25.5,25.3,25.5,25.1,26.5,26.1,25.9,26.0,25.9,25.6,25.7,25.7,26.0,26.3,26.2
0.68,26.3,26.2,25.5,25.3,25.5,25.1,26.5,26.1,25.9,26.0,25.9,25.6,25.7,25.7,26.0,26.3,26.2
0.7,26.3,26.2,25.5,25.3,25.5,25.1,26.5,26.1,25.9,26.0,25.9,25.6,25.7,25.7,26.0,26.3,26.2
0.72,26.3,26.2,25.5,25.3,25.5,25.1,26.5,26.1,25.9,26.0,25.9,25.6,25.7,25.7,26.0,26.3,26.2
0.73,26.3,26.2,25.5,25.3,25.5,25.1,26.5,26.1,25.9,26.0,25.9,25.6,25.7,25.7,26.0,26.3,26.2
0.75,26.3,26.2,25.5,25.3,25.5,25.1,26.5,26.1,25.9,26.0,25.9,25.6,25.7,25.7,26.0,26.3,26.2
0.77,26.4,26.2,25.5,25.3,25.5,25.1,26.5,26.1,25.9,26.0,25.9,25.6,25.7,25.7,26.0,26.3,26.2
0.78,26.4,26.2,25.5,25.3,25.5,25.1,26.5,26.1,25.9,26.0,25.9,25.6,25.7,25.7,26.0,26.3,26.2
0.8,26.4,26.2,25.5,25.3,25.5,25.1,26.5,26.1,25.9,26.0,25.9,25.6,25.7,25.7,26.0,26.3,26.2
0.82,26.4,26.2,25.5,25.3,25.5,25.1,26.5,26.1,25.9,26.0,25.9,25.6,25.7,25.7,26.0,26.3,26.2
0.83,26.4,26.2,25.5,25.3,25.5,25.1,26.5,26.1,25.9,26.0,25.9,25.6,25.7,25.7,26.0,26.3,26.2
0.85,26.4,26.2,25.5,25.3,25.5,25.1,26.5,26.1,25.9,26.0,25.9,25.6,25.7,25.7,26.0,26.3,26.2
0.87,26.4,26.2,25.5,25.3,25.5,25.1,26.5,26.1,25.9,26.0,25.9,25.6,25.7,25.7,26.0,26.3,26.2
0.88,26.4,26.2,25.5,25.4,25.5,25.1,26.5,26.1,25.9,26.0,25.9,25.6,25.7,25.7,26.0,26.3,26.2
0.9,26.4,26.2,25.5,25.4,25.5,25.1,26.5,26.1,25.9,26.0,25.9,25.6,25.7,25.7,26.0,26.3,26.2
0.92,26.4,26.2,25.5,25.4,25.5,25.1,26.5,26.1,25.9,26.0,25.9,25.6,25.7,25.7,26.0,26.3,26.2
0.93,26.4,26.2,25.5,25.4,25.5,25.1,26.5,26.1,25.9,26.1,25.9,25.6,25.7,25.7,26.0,26.3,26.2
0.95,26.4,26.2,25.5,25.4,25.5,25.1,26.5,26.1,25.9,26.1,25.9,25.6,25.7,25.7,26.0,26.3,26.2
